CODIGO;FANTASIA;ENDERECO;NUMERO;BAIRRO;LOCALIDADE
68;ITAQUI;RUA VISCONDE DE MAUA;929;CIDADE ALTA;ITAQUI
12;LAGOA VERMELHA;R DIODO MARTINS RIBEIRO;183;SAO SEBASTIAO;LAGOA VERMELHA
60;LAJEADO;RUA C;65;FLORESTA;LAJEADO
76;MARAU;R TERESA LIVIA RODIGHERI;1026;PARQUE INDUSTRIAL VIA MARAU;MARAU
80;MONTENEGRO;ESTRADA DO SEGREDO;3000;PARECI VELHO;MONTENEGRO
46;NOVA PRATA;RUA GRACIANO FOCHESATTO;135;SAO CRISTIVAO;NOVA PRATA
47;PANAMBI;RUA ERICA;599;ERICA;PANAMBI
71;PAROBE;RUA SEBASTIAO BRISTOTE;4280;FOGAO GAUCHO;PAROBE
39;PASSO FUNDO;RUA EPITÁCIO PESSOA;2800;SAO LUIZ GONZAGA;PASSO FUNDO
17;PELOTAS;RUA BARAO DE TRAMANDAY;417;TRES VENDAS;PELOTAS
4;PORTO ALEGRE;AV. WILLY EUGENIO FLECK;104;RUBEM BERBA;PORTO ALEGRE
77;RIO GRANDE;RUA REPUBLICA;184;CIDADE NOVA;RIO GRANDE
20;SANTA CRUZ DO SUL;R VINTE E OITO DE SETEMBRO;2136;VARZEA;SANTA CRUZ DO SUL
11;SANTA MARIA;ROD. BR 158 FAIXA DE ROSÁRIO;460;PINHEIRO MACHADO;SANTA MARIA
62;SANTA ROSA;R PLACIDO DE CASTRO;69;VILA SANTA INES;SANTA ROSA
38;SANTANA DO LIVRAMENTO;AV. PRESIDENTE JOAO BELCHIOR GOULART;3224;KENNEDY;SANTANA DO LIVRAMENTO
36;SANTIAGO;RUA ASSIS BRASIL;187;SAO JORGE;SANTIAGO
8;SANTO ANGELO;RODOVIA RS 344 KM 96;100;ORTIS;SANTO ANGELO
23;SANTO ANT DA PATRULHA;RUA JOÃO CARLOS BENFICA;1254;RS-474;SANTO ANTONIO DA PATRULHA
24;SAO BORJA;AV LEONEL DE MOURA BRIZOLA;1590;PIRAHY;SAO BORJA
35;SAO GABRIEL;TRAVESSA ISAIAS EVANGELHO;31;CENTRO;SAO GABRIEL
7;SAO LEOPOLDO;RUA PELOTAS;309;SCHARLAU;SAO LEOPOLDO
66;SAO LUIZ GONZAGA;RUA QUINTINO BOCAIUVA;1525;CENTRO;SAO LUIZ GONZAGA
13;SAO MARCOS;RUA ANTONIO FONGARO;161;INDUSTRIAL/MICHELON;SAO MARCOS
9;SARANDI;ROD RS 404, KM 5;1803;LINHA JACUTINGA;SARANDI
27;SOLEDADE;RUA AGENOR CHAISE;735;BOTUCARAY;SOLEDADE
